,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS,^VIX,^VIX,^VIX,^VIX,^VIX,^VIX,CNYUSD=X,CNYUSD=X,CNYUSD=X,CNYUSD=X,CNYUSD=X,CNYUSD=X,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2018-03-15,3277.513916015625,3297.097900390625,3273.200927734375,3291.112060546875,3291.112060546875,148600.0,16.989999771118164,17.40999984741211,15.960000038146973,16.59000015258789,16.59000015258789,0.0,0.1583656668663025,0.15871000289916992,0.15814277529716492,0.15832805633544922,0.15832805633544922,0.0,2754.27001953125,2763.030029296875,2741.469970703125,2747.330078125,2747.330078125,3500330000.0
2018-03-16,3290.208984375,3300.56494140625,3269.282958984375,3269.882080078125,3269.882080078125,141200.0,16.600000381469727,16.719999313354492,15.229999542236328,15.800000190734863,15.800000190734863,0.0,0.15821032226085663,0.15837571024894714,0.1579030454158783,0.1582053154706955,0.1582053154706955,0.0,2750.570068359375,2761.85009765625,2749.969970703125,2752.010009765625,2752.010009765625,5372340000.0
2018-03-19,3264.927978515625,3280.56689453125,3251.047119140625,3279.251953125,3279.251953125,138000.0,16.6299991607666,21.8700008392334,16.559999465942383,19.020000457763672,19.020000457763672,0.0,0.1577635407447815,0.15822534263134003,0.157624289393425,0.15777349472045898,0.15777349472045898,0.0,2741.3798828125,2741.3798828125,2694.590087890625,2712.919921875,2712.919921875,3302130000.0
2018-03-20,3257.218994140625,3292.573974609375,3252.43310546875,3290.639892578125,3290.639892578125,139900.0,18.3799991607666,19.309999465942383,18.09000015258789,18.200000762939453,18.200000762939453,0.0,0.15789806842803955,0.1582278460264206,0.15788060426712036,0.15793795883655548,0.15793795883655548,0.0,2715.050048828125,2724.219970703125,2710.050048828125,2716.93994140625,2716.93994140625,3261030000.0
2018-03-21,3299.73095703125,3314.208984375,3268.8779296875,3280.951904296875,3280.951904296875,168400.0,17.760000228881836,18.3700008392334,16.260000228881836,17.860000610351562,17.860000610351562,0.0,0.1579105406999588,0.1582278460264206,0.15784822404384613,0.15790553390979767,0.15790553390979767,0.0,2714.989990234375,2739.139892578125,2709.7900390625,2711.929931640625,2711.929931640625,3415510000.0
2018-03-22,3281.264892578125,3288.797119140625,3242.761962890625,3263.47998046875,3263.47998046875,150400.0,18.1299991607666,23.809999465942383,18.1200008392334,23.34000015258789,23.34000015258789,0.0,0.15815027058124542,0.15855148434638977,0.15787063539028168,0.1582128256559372,0.1582128256559372,0.0,2691.360107421875,2695.679931640625,2641.590087890625,2643.68994140625,2643.68994140625,3739800000.0
2018-03-23,3172.77197265625,3188.235107421875,3110.6640625,3152.760986328125,3152.760986328125,275500.0,24.020000457763672,26.010000228881836,21.6299991607666,24.8700008392334,24.8700008392334,0.0,0.157860666513443,0.15834560990333557,0.1578083485364914,0.157860666513443,0.157860666513443,0.0,2646.7099609375,2657.669921875,2585.889892578125,2588.260009765625,2588.260009765625,3815080000.0
2018-03-26,3117.319091796875,3134.27587890625,3091.4580078125,3133.721923828125,3133.721923828125,186400.0,23.40999984741211,24.540000915527344,20.709999084472656,21.030000686645508,21.030000686645508,0.0,0.1582704335451126,0.15946166217327118,0.15826040506362915,0.1582278460264206,0.1582278460264206,0.0,2619.35009765625,2661.360107421875,2601.81005859375,2658.550048828125,2658.550048828125,3511100000.0
2018-03-27,3164.798095703125,3172.778076171875,3143.570068359375,3166.64892578125,3166.64892578125,189100.0,20.329999923706055,24.059999465942383,19.84000015258789,22.5,22.5,0.0,0.15965768694877625,0.1604055017232895,0.1591697782278061,0.15942861139774323,0.15942861139774323,0.0,2667.570068359375,2674.780029296875,2596.1201171875,2612.6201171875,2612.6201171875,3706350000.0
2018-03-28,3130.571044921875,3165.212890625,3117.533935546875,3122.2900390625,3122.2900390625,163500.0,22.520000457763672,24.940000534057617,21.709999084472656,22.8700008392334,22.8700008392334,0.0,0.15919004380702972,0.1597929149866104,0.1587730050086975,0.15919004380702972,0.15919004380702972,0.0,2611.300048828125,2632.64990234375,2593.06005859375,2605.0,2605.0,3864500000.0
2018-03-29,3127.262939453125,3174.509033203125,3098.2470703125,3160.531005859375,3160.531005859375,170300.0,22.8700008392334,23.049999237060547,19.600000381469727,19.969999313354492,19.969999313354492,0.0,0.15886129438877106,0.1592990756034851,0.15862441062927246,0.1588411033153534,0.1588411033153534,0.0,2614.409912109375,2659.070068359375,2609.719970703125,2640.8701171875,2640.8701171875,3565990000.0
2018-03-30,3161.785888671875,3177.720947265625,3152.888916015625,3168.89697265625,3168.89697265625,154600.0,,,,,,,0.1590179055929184,0.1596551388502121,0.158982515335083,0.15901032090187073,0.15901032090187073,0.0,,,,,,
2018-04-02,3169.779052734375,3192.340087890625,3159.986083984375,3163.178955078125,3163.178955078125,177700.0,21.06999969482422,25.719999313354492,20.440000534057617,23.6200008392334,23.6200008392334,0.0,0.15915457904338837,0.15936508774757385,0.15881837904453278,0.1591799110174179,0.1591799110174179,0.0,2633.449951171875,2638.300048828125,2553.800048828125,2581.8798828125,2581.8798828125,3598520000.0
2018-04-03,3130.012939453125,3144.33203125,3119.132080078125,3136.633056640625,3136.633056640625,152200.0,23.030000686645508,23.3799991607666,20.920000076293945,21.100000381469727,21.100000381469727,0.0,0.1592559516429901,0.1592559516429901,0.15897998213768005,0.1592508852481842,0.1592508852481842,0.0,2592.169921875,2619.139892578125,2575.489990234375,2614.449951171875,2614.449951171875,3392810000.0
2018-04-04,3147.049072265625,3163.340087890625,3128.866943359375,3131.111083984375,3131.111083984375,147000.0,21.68000030517578,24.510000228881836,19.860000610351562,20.059999465942383,20.059999465942383,0.0,0.15903307497501373,0.1592128574848175,0.15850120782852173,0.1590229570865631,0.1590229570865631,0.0,2584.0400390625,2649.860107421875,2573.610107421875,2644.68994140625,2644.68994140625,3350340000.0
2018-04-05,,,,,,,19.760000228881836,20.209999084472656,18.56999969482422,18.940000534057617,18.940000534057617,0.0,0.15868733823299408,0.15871000289916992,0.1585439294576645,0.15862441062927246,0.15862441062927246,0.0,2657.360107421875,2672.080078125,2649.580078125,2662.840087890625,2662.840087890625,3178970000.0
